"YearsSinceBurn","Compound","Concentration"
"263",16,"cuparene",2.2
"264",16,"compound.1",2
"265",16,"alpha.chamigrene",0.5
"266",16,"widdrol",4.1
"267",16,"cedrol",13.8
"268",16,"beta.acorenol",1.1
"269",16,"alpha.acorenol",0.8
"270",16,"gamma.eudesmol",0
"271",16,"beta.eudesmol",0.6
"272",16,"alpha.eudesmol",0.2
"273",16,"cedr.8.en.13.ol",6.1
"274",16,"cedr.8.en.15.ol",1.1
"275",16,"compound.2",0.7
"276",16,"thujopsenal",2.1
"277",18,"alpha.pinene",0
"278",18,"para.cymene",0
"279",18,"alpha.terpineol",0
"280",18,"cedr.9.ene",0
"281",18,"alpha.cedrene",6.7
"282",18,"beta.cedrene",2
"283",18,"cis.thujopsene",32.8
"284",18,"alpha.himachalene",0
"285",18,"beta.chamigrene",0.9
"286",18,"cuparene",5.2
"287",18,"compound.1",1.1
"288",18,"alpha.chamigrene",0.8
"289",18,"widdrol",7.1
"290",18,"cedrol",19.1
"291",18,"beta.acorenol",0
"292",18,"alpha.acorenol",0
"293",18,"gamma.eudesmol",0
"294",18,"beta.eudesmol",0.5
"295",18,"alpha.eudesmol",0.3
"296",18,"cedr.8.en.13.ol",1.8
"297",18,"cedr.8.en.15.ol",0.3
"298",18,"compound.2",0.5
"299",18,"thujopsenal",3.5
"300",19,"alpha.pinene",0
"301",19,"para.cymene",0.5
"302",19,"alpha.terpineol",1.5
"303",19,"cedr.9.ene",0.7
"304",19,"alpha.cedrene",3.1
"305",19,"beta.cedrene",1.5
"306",19,"cis.thujopsene",29.6
"307",19,"alpha.himachalene",0.4
"308",19,"beta.chamigrene",1
"309",19,"cuparene",3.1
"310",19,"compound.1",1.8
"311",19,"alpha.chamigrene",0.6
"312",19,"widdrol",9
"313",19,"cedrol",6.9
"314",19,"beta.acorenol",0
"315",19,"alpha.acorenol",0
"316",19,"gamma.eudesmol",5.5
"317",19,"beta.eudesmol",7.9
"318",19,"alpha.eudesmol",3
"319",19,"cedr.8.en.13.ol",2.8
"320",19,"cedr.8.en.15.ol",2.5
"321",19,"compound.2",1.7
"322",19,"thujopsenal",2.3
"323",20,"alpha.pinene",0
"324",20,"para.cymene",3.4
"325",20,"alpha.terpineol",3
"326",20,"cedr.9.ene",1.1
"327",20,"alpha.cedrene",4.9
